Class,Red,Green,Blue
Vegetation,51,52,45
Vegetation,52,52,46
Vegetation,55,54,47
Vegetation,58,57,47
Vegetation,61,61,47
Vegetation,62,63,47
Vegetation,61,66,47
Vegetation,60,62,47
Vegetation,59,59,47
Vegetation,57,57,48
Vegetation,56,56,48
Vegetation,55,55,48
Vegetation,56,58,48
Vegetation,58,62,48
Vegetation,60,65,48
Vegetation,61,69,49
Vegetation,62,73,49
Vegetation,63,73,50
Vegetation,65,71,51
Vegetation,66,72,51
Vegetation,68,73,52
Vegetation,70,73,51
Vegetation,70,72,51
Vegetation,68,70,50
Vegetation,67,68,50
Vegetation,67,67,50
Vegetation,69,69,51
Vegetation,71,73,51
Vegetation,73,77,52
Vegetation,73,78,53
Vegetation,72,77,54
Vegetation,71,70,52
Vegetation,70,66,51
Vegetation,69,66,50
Vegetation,69,69,51
Vegetation,69,73,52
Vegetation,70,75,54
Vegetation,71,75,55
Vegetation,71,72,53
Vegetation,70,71,51
Vegetation,68,71,49
Vegetation,66,67,48
Vegetation,65,63,48
Vegetation,66,65,49
Vegetation,68,68,49
Vegetation,69,74,50
Vegetation,70,76,51
Vegetation,70,76,53
Vegetation,52,51,45
Vegetation,51,52,45
Vegetation,51,51,45
Vegetation,51,50,45
Vegetation,50,51,45
Vegetation,50,52,45
Vegetation,50,51,45
Vegetation,50,51,45
Vegetation,51,53,45
Vegetation,52,53,46
Vegetation,53,54,47
Vegetation,56,57,48
Vegetation,60,62,49
Vegetation,63,69,49
Vegetation,63,70,49
Vegetation,62,69,49
Vegetation,61,64,49
Vegetation,60,60,48
Vegetation,58,58,48
Vegetation,57,55,47
Vegetation,56,53,47
Vegetation,57,56,47
Vegetation,58,60,47
Vegetation,59,63,48
Vegetation,60,66,48
Vegetation,61,69,49
Vegetation,62,69,50
Vegetation,63,69,51
Vegetation,65,71,52
Vegetation,66,73,53
Vegetation,67,75,52
Vegetation,67,73,52
Vegetation,67,70,51
Vegetation,66,67,51
Vegetation,66,65,51
Vegetation,68,69,51
Vegetation,69,72,51
Vegetation,71,77,52
Vegetation,71,74,53
Vegetation,70,71,53
Vegetation,69,66,52
Vegetation,69,65,51
Vegetation,71,69,51
Vegetation,72,73,51
Vegetation,73,76,52
Vegetation,73,77,54
Vegetation,72,77,54
Vegetation,71,72,52
Vegetation,70,70,50
Vegetation,68,68,49
Vegetation,66,65,48
Vegetation,65,62,48
Vegetation,67,66,49
Vegetation,68,70,49
Vegetation,70,75,50
Vegetation,69,76,51
Vegetation,67,76,52
Vegetation,53,52,45
Vegetation,53,51,45
Vegetation,54,49,45
Vegetation,54,50,45
Vegetation,54,51,45
Vegetation,53,50,45
Vegetation,53,50,45
Vegetation,52,51,46
Vegetation,51,50,45
Vegetation,50,48,45
Vegetation,50,50,45
Vegetation,50,51,45
Vegetation,51,50,45
Vegetation,51,51,45
Vegetation,52,53,45
Vegetation,53,53,46
Vegetation,54,55,48
Vegetation,58,61,49
Vegetation,62,68,50
Vegetation,66,75,51
Vegetation,65,75,51
Vegetation,64,72,51
Vegetation,62,67,50
Vegetation,61,62,49
Vegetation,60,59,48
Vegetation,58,56,48
Vegetation,57,53,47
Vegetation,58,56,47
Vegetation,58,60,47
Vegetation,58,62,48
Vegetation,59,63,48
Vegetation,60,66,49
Vegetation,61,66,50
Vegetation,62,67,51
Vegetation,63,70,52
Vegetation,64,72,53
Vegetation,65,73,52
Vegetation,65,72,51
Vegetation,65,70,50
Vegetation,64,67,50
Vegetation,65,66,51
Vegetation,66,70,51
Vegetation,67,72,51
Vegetation,69,74,51
Vegetation,69,71,52
Vegetation,68,69,52
Vegetation,68,67,51
Vegetation,69,68,51
Vegetation,72,74,52
Vegetation,75,77,52
Vegetation,78,79,53
Vegetation,76,82,54
Vegetation,74,81,54
Vegetation,72,76,53
Vegetation,70,71,51
Vegetation,68,69,50
Vegetation,67,66,49
Vegetation,66,65,49
Vegetation,67,69,49
Vegetation,69,71,49
Vegetation,70,72,49
Vegetation,68,74,50
Vegetation,65,75,51
Vegetation,62,71,50
Vegetation,55,55,49
Vegetation,54,53,47
Vegetation,53,52,47
Vegetation,53,52,46
Vegetation,53,51,46
Vegetation,52,50,45
Vegetation,53,51,45
Vegetation,53,51,45
Vegetation,54,49,45
Vegetation,54,51,45
Vegetation,54,52,45
Vegetation,55,51,45
Vegetation,54,51,45
Vegetation,53,51,45
Vegetation,51,50,45
Vegetation,50,49,45
Vegetation,50,50,45
Vegetation,51,51,45
Vegetation,51,51,44
Vegetation,52,52,44
Vegetation,53,54,44
Vegetation,54,56,46
Vegetation,56,59,48
Vegetation,60,66,50
Vegetation,63,72,51
Vegetation,68,75,51
Vegetation,67,77,51
Vegetation,65,77,51
Vegetation,63,70,50
Vegetation,62,65,50
Vegetation,61,61,49
Vegetation,60,59,48
Vegetation,58,57,48
Vegetation,58,59,47
Vegetation,58,60,47
Vegetation,58,61,48
Vegetation,58,62,48
Vegetation,59,63,49
Vegetation,60,64,50
Vegetation,60,66,50
Vegetation,61,70,52
Vegetation,62,71,52
Vegetation,62,70,51
Vegetation,63,70,50
Vegetation,63,70,49
Vegetation,63,68,50
Vegetation,63,67,50
Vegetation,65,70,51
Vegetation,66,71,51
Vegetation,67,71,51
Vegetation,67,69,51
Vegetation,67,67,51
Vegetation,67,67,51
Vegetation,68,70,52
Vegetation,71,76,53
Vegetation,75,79,53
Vegetation,78,82,54
Vegetation,75,83,54
Vegetation,73,82,54
Vegetation,71,76,53
Vegetation,69,72,52
Vegetation,68,69,51
Vegetation,66,66,50
Vegetation,66,65,50
Vegetation,66,67,49
Vegetation,67,68,49
Vegetation,67,68,49
Vegetation,65,69,49
Vegetation,63,69,49
Vegetation,61,65,48
Vegetation,57,59,48
Vegetation,56,58,48
Vegetation,56,58,47
Vegetation,57,58,47
Vegetation,57,57,48
Vegetation,56,56,48
Vegetation,54,55,48
Vegetation,53,53,47
Vegetation,53,53,46
Vegetation,52,53,46
Vegetation,52,51,46
Vegetation,52,51,46
Vegetation,53,51,46
Vegetation,53,51,46
Vegetation,54,51,46
Vegetation,54,53,46
Vegetation,55,54,46
Vegetation,56,53,45
Vegetation,55,53,45
Vegetation,53,52,45
Vegetation,51,51,45
Vegetation,50,50,45
Vegetation,50,51,45
Vegetation,51,51,44
Vegetation,51,51,44
Vegetation,52,53,44
Vegetation,54,55,44
Vegetation,55,58,46
Vegetation,57,61,48
Vegetation,60,68,50
Vegetation,64,73,51
Vegetation,68,76,51
Vegetation,67,77,51
Vegetation,66,77,51
Vegetation,65,70,51
Vegetation,63,66,50
Vegetation,62,63,50
Vegetation,60,62,49
Vegetation,59,60,48
Vegetation,59,60,48
Vegetation,58,60,47
Vegetation,58,60,47
Vegetation,58,60,48
Vegetation,58,61,48
Vegetation,59,61,49
Vegetation,59,62,50
Vegetation,60,65,51
Vegetation,60,67,51
Vegetation,61,67,50
Vegetation,62,67,49
Vegetation,62,67,48
Vegetation,62,65,49
Vegetation,62,65,50
Vegetation,64,68,50
Vegetation,65,70,51
Vegetation,66,70,50
Vegetation,66,68,50
Vegetation,66,66,50
Vegetation,65,66,51
Vegetation,67,69,53
Vegetation,69,74,54
Vegetation,72,80,54
Vegetation,74,85,55
Vegetation,72,82,55
Vegetation,71,79,54
Vegetation,69,75,53
Vegetation,68,72,53
Vegetation,66,69,52
Vegetation,65,66,51
Vegetation,64,63,51
Vegetation,64,64,50
Vegetation,64,64,49
Vegetation,63,65,49
Vegetation,62,64,48
Vegetation,61,63,48
Vegetation,60,60,47
Vegetation,59,63,49
Vegetation,62,65,50
Vegetation,66,64,49
Vegetation,63,63,49
Vegetation,60,62,49
Vegetation,57,59,48
Vegetation,56,57,47
Vegetation,57,58,47
Vegetation,57,57,47
Vegetation,57,56,47
Vegetation,56,55,47
Vegetation,54,55,47
Vegetation,53,53,47
Vegetation,53,53,46
Vegetation,53,53,46
Vegetation,52,52,46
Vegetation,52,51,46
Vegetation,53,52,46
Vegetation,53,52,46
Vegetation,54,52,46
Vegetation,54,54,46
Vegetation,55,55,46
Vegetation,55,54,46
Vegetation,54,54,45
Vegetation,53,53,45
Vegetation,51,51,45
Vegetation,49,50,45
Vegetation,50,50,44
Vegetation,50,51,44
Vegetation,51,50,44
Vegetation,52,52,44
Vegetation,53,55,44
Vegetation,55,57,46
Vegetation,56,60,48
Vegetation,59,67,50
Vegetation,62,71,51
Vegetation,66,76,51
Vegetation,66,75,51
Vegetation,65,73,51
Vegetation,65,68,51
Vegetation,64,65,51
Vegetation,63,66,50
Vegetation,61,64,50
Vegetation,60,62,49
Vegetation,59,61,48
Vegetation,59,60,47
Vegetation,58,59,47
Vegetation,58,59,47
Vegetation,58,60,48
Vegetation,58,59,48
Vegetation,58,59,49
Vegetation,58,61,50
Vegetation,59,63,50
Vegetation,60,63,49
Vegetation,61,64,48
Vegetation,61,65,48
Vegetation,61,63,49
Vegetation,62,64,49
Vegetation,63,67,50
Vegetation,65,68,50
Vegetation,66,68,50
Vegetation,65,67,49
Vegetation,65,65,49
Vegetation,64,65,50
Vegetation,65,67,52
Vegetation,67,72,53
Vegetation,69,76,53
Vegetation,70,80,53
Vegetation,69,78,54
Vegetation,68,76,53
Vegetation,67,74,52
Vegetation,66,72,52
Vegetation,65,70,51
Vegetation,63,66,51
Vegetation,62,63,50
Vegetation,62,62,49
Vegetation,61,62,49
Vegetation,60,62,49
Vegetation,60,62,49
Vegetation,59,61,48
Vegetation,59,60,48
Vegetation,58,60,47
Vegetation,51,50,45
Vegetation,51,51,46
Vegetation,53,52,46
Vegetation,55,55,46
Vegetation,57,56,48
Vegetation,59,59,49
Vegetation,61,64,50
Vegetation,64,66,50
Vegetation,67,66,50
Vegetation,63,64,50
Vegetation,60,61,49
Vegetation,58,57,48
Vegetation,56,55,47
Vegetation,56,56,46
Vegetation,56,55,46
Vegetation,56,54,46
Vegetation,56,54,47
Vegetation,55,54,47
Vegetation,54,53,47
Vegetation,54,53,47
Vegetation,53,53,47
Vegetation,53,52,47
Vegetation,52,51,47
Vegetation,53,52,47
Vegetation,54,53,47
Vegetation,54,54,47
Vegetation,55,55,47
Vegetation,55,55,47
Vegetation,55,55,46
Vegetation,54,54,46
Vegetation,52,53,45
Vegetation,50,51,45
Vegetation,49,50,45
Vegetation,49,51,44
Vegetation,50,51,44
Vegetation,50,50,44
Vegetation,52,52,44
Vegetation,53,56,44
Vegetation,54,57,46
Vegetation,56,60,48
Vegetation,58,65,50
Vegetation,61,69,51
Vegetation,63,72,51
Vegetation,65,72,51
Vegetation,65,72,51
Vegetation,66,69,51
Vegetation,66,69,51
Vegetation,63,70,51
Vegetation,62,67,50
Vegetation,60,63,49
Vegetation,60,62,48
Vegetation,59,60,48
Vegetation,58,59,48
Vegetation,58,59,48
Vegetation,57,59,47
Vegetation,57,58,48
Vegetation,56,58,48
Vegetation,57,60,49
Vegetation,58,61,49
Vegetation,59,62,48
Vegetation,60,63,48
Vegetation,60,63,47
Vegetation,61,63,48
Vegetation,61,65,49
Vegetation,63,68,50
Vegetation,64,68,50
Vegetation,65,66,49
Vegetation,65,65,49
Vegetation,63,63,48
Vegetation,63,64,49
Vegetation,63,66,50
Vegetation,65,70,51
Vegetation,66,72,51
Vegetation,67,73,51
Vegetation,67,74,52
Vegetation,67,73,52
Vegetation,66,71,51
Vegetation,66,71,51
Vegetation,65,71,51
Vegetation,63,66,50
Vegetation,62,62,50
Vegetation,61,61,49
Vegetation,61,61,49
Vegetation,60,61,49
Vegetation,60,61,49
Vegetation,60,60,49
Vegetation,59,60,48
Vegetation,59,60,47
Vegetation,52,51,46
Vegetation,52,51,46
Vegetation,51,51,46
Vegetation,51,50,45
Vegetation,51,50,45
Vegetation,51,50,45
Vegetation,52,50,46
Vegetation,52,51,46
Vegetation,54,54,46
Vegetation,57,57,47
Vegetation,60,58,48
Vegetation,63,61,50
Vegetation,65,67,51
Vegetation,66,68,51
Vegetation,68,68,50
Vegetation,64,64,50
Vegetation,61,60,49
Vegetation,58,57,48
Vegetation,56,56,47
Vegetation,56,56,46
Vegetation,56,56,46
Vegetation,56,55,46
Vegetation,55,55,46
Vegetation,56,55,46
Vegetation,56,54,47
Vegetation,55,55,47
Vegetation,54,55,47
Vegetation,53,54,47
Vegetation,53,53,47
Vegetation,53,54,47
Vegetation,54,54,47
Vegetation,55,54,47
Vegetation,55,56,46
Vegetation,54,56,46
Vegetation,54,55,46
Vegetation,53,54,45
Vegetation,51,54,45
Vegetation,50,52,45
Vegetation,48,51,45
Vegetation,49,52,44
Vegetation,50,53,44
Vegetation,50,52,44
Vegetation,51,54,44
Vegetation,52,57,44
Vegetation,54,58,46
Vegetation,55,60,47
Vegetation,57,64,49
Vegetation,59,67,50
Vegetation,62,68,50
Vegetation,63,70,50
Vegetation,65,71,51
Vegetation,67,71,51
Vegetation,67,72,51
Vegetation,65,74,51
Vegetation,62,69,50
Vegetation,61,63,49
Vegetation,60,62,49
Vegetation,59,60,49
Vegetation,58,58,48
Vegetation,58,58,48
Vegetation,57,58,47
Vegetation,56,57,47
Vegetation,56,57,48
Vegetation,57,59,48
Vegetation,58,61,48
Vegetation,59,62,47
Vegetation,60,62,47
Vegetation,60,62,47
Vegetation,60,62,48
Vegetation,61,63,49
Vegetation,62,66,50
Vegetation,63,65,50
Vegetation,65,63,49
Vegetation,64,63,48
Vegetation,63,62,48
Vegetation,63,61,48
Vegetation,64,63,48
Vegetation,65,66,49
Vegetation,67,67,49
Vegetation,68,67,50
Vegetation,67,69,51
Vegetation,67,70,51
Vegetation,67,68,51
Vegetation,67,68,50
Vegetation,66,68,50
Vegetation,66,63,50
Vegetation,66,60,49
Vegetation,66,62,49
Vegetation,66,62,49
Vegetation,66,60,49
Vegetation,65,61,50
Vegetation,63,61,50
Vegetation,62,59,49
Vegetation,61,58,48
Vegetation,54,54,47
Vegetation,54,53,47
Vegetation,53,52,47
Vegetation,53,53,47
Vegetation,52,53,46
Vegetation,52,51,46
Vegetation,52,52,46
Vegetation,51,52,45
Vegetation,51,51,46
Vegetation,51,50,46
Vegetation,52,51,46
Vegetation,52,52,46
Vegetation,53,53,47
Vegetation,56,56,47
Vegetation,60,60,47
Vegetation,64,62,49
Vegetation,67,66,50
Vegetation,67,71,52
Vegetation,68,71,51
Vegetation,69,68,50
Vegetation,65,64,49
Vegetation,61,61,49
Vegetation,58,59,48
Vegetation,56,58,48
Vegetation,56,57,47
Vegetation,55,56,47
Vegetation,55,55,47
Vegetation,56,56,46
Vegetation,56,56,46
Vegetation,57,56,47
Vegetation,56,57,47
Vegetation,55,57,47
Vegetation,54,55,47
Vegetation,54,55,47
Vegetation,54,55,47
Vegetation,55,55,47
Vegetation,55,54,46
Vegetation,55,55,46
Vegetation,54,56,46
Vegetation,54,54,45
Vegetation,53,54,45
Vegetation,51,53,45
Vegetation,50,52,45
Vegetation,49,51,45
Vegetation,50,52,44
Vegetation,50,52,44
Vegetation,51,52,44
Vegetation,52,53,44
Vegetation,53,56,44
Vegetation,54,57,45
Vegetation,56,58,47
Vegetation,58,61,48
Vegetation,60,62,49
Vegetation,62,63,49
Vegetation,63,68,50
Vegetation,66,72,51
Vegetation,68,73,51
Vegetation,68,73,51
Vegetation,65,72,52
Vegetation,63,67,51
Vegetation,61,61,50
Vegetation,60,61,50
Vegetation,59,60,49
Vegetation,58,57,48
Vegetation,58,57,47
Vegetation,58,57,47
Vegetation,57,56,47
Vegetation,58,56,47
Vegetation,58,59,47
Vegetation,59,61,47
Vegetation,60,62,47
Vegetation,60,62,47
Vegetation,60,62,47
Vegetation,61,61,48
Vegetation,61,62,49
Vegetation,62,63,50
Vegetation,62,62,50
Vegetation,63,61,49
Vegetation,63,61,48
Vegetation,64,61,47
Vegetation,65,60,47
Vegetation,65,61,48
Vegetation,66,64,48
Vegetation,67,64,48
Vegetation,68,64,49
Vegetation,68,67,50
Vegetation,68,68,51
Vegetation,68,68,51
Vegetation,68,69,51
Vegetation,68,70,51
Vegetation,69,66,51
Vegetation,69,65,50
Vegetation,70,68,50
Vegetation,70,67,50
Vegetation,71,65,50
Vegetation,69,65,50
Vegetation,67,63,50
Vegetation,65,61,49
Vegetation,63,59,48
Vegetation,62,59,47
Vegetation,57,57,52
Vegetation,56,57,52
Vegetation,55,57,51
Vegetation,55,57,50
Vegetation,55,55,49
Vegetation,55,55,48
Vegetation,54,55,47
Vegetation,54,54,47
Vegetation,53,54,47
Vegetation,53,54,47
Vegetation,52,53,47
Vegetation,52,51,47
Vegetation,52,52,46
Vegetation,51,52,45
Vegetation,51,51,46
Vegetation,52,51,46
Vegetation,52,51,47
Vegetation,53,52,47
Vegetation,54,54,47
Vegetation,57,57,47
Vegetation,61,61,48
Vegetation,65,65,49
Vegetation,67,69,51
Vegetation,67,72,52
Vegetation,67,71,52
Vegetation,68,70,50
Vegetation,65,66,49
Vegetation,62,62,49
Vegetation,60,60,48
Vegetation,58,59,48
Vegetation,57,59,48
Vegetation,57,57,48
Vegetation,56,55,47
Vegetation,57,56,46
Vegetation,57,57,46
Vegetation,58,59,47
Vegetation,57,58,47
Vegetation,57,57,47
Vegetation,56,56,47
Vegetation,55,55,47
Vegetation,55,56,47
Vegetation,55,55,47
Vegetation,55,54,46
Vegetation,54,54,46
Vegetation,54,54,45
Vegetation,54,53,45
Vegetation,53,53,45
Vegetation,52,53,45
Vegetation,51,51,45
Vegetation,50,50,45
Vegetation,51,51,44
Vegetation,52,51,44
Vegetation,53,51,44
Vegetation,54,52,44
Vegetation,54,54,45
Vegetation,55,55,45
Vegetation,57,57,46
Vegetation,58,59,47
Vegetation,60,60,48
Vegetation,62,61,49
Vegetation,64,68,50
Vegetation,66,73,51
Vegetation,69,74,51
Vegetation,68,73,52
Vegetation,66,70,52
Vegetation,63,66,51
Vegetation,61,61,51
Vegetation,60,61,50
Vegetation,59,61,49
Vegetation,58,58,48
Vegetation,58,57,47
Vegetation,58,58,47
Vegetation,59,58,47
Vegetation,59,59,47
Vegetation,59,63,47
Vegetation,60,65,47
Vegetation,61,63,47
Vegetation,61,63,47
Vegetation,61,63,47
Vegetation,61,62,48
Vegetation,61,62,49
Vegetation,61,63,50
Vegetation,62,63,50
Vegetation,62,63,49
Vegetation,63,63,49
Vegetation,65,63,48
Vegetation,66,63,49
Vegetation,66,65,49
Vegetation,67,66,49
Vegetation,68,66,49
Vegetation,68,67,50
Vegetation,68,68,51
Vegetation,69,69,51
Vegetation,69,71,51
Vegetation,70,73,52
Vegetation,70,75,52
Vegetation,71,73,52
Vegetation,72,74,52
Vegetation,73,76,52
Vegetation,75,75,52
Vegetation,76,73,51
Vegetation,73,70,51
Vegetation,71,67,50
Vegetation,68,63,49
Vegetation,65,61,48
Vegetation,63,60,47
Vegetation,58,58,53
Vegetation,58,57,53
Vegetation,57,57,53
Vegetation,56,57,52
Vegetation,55,57,52
Vegetation,55,57,51
Vegetation,55,56,50
Vegetation,55,54,49
Vegetation,55,55,48
Vegetation,55,55,46
Vegetation,55,55,47
Vegetation,54,54,47
Vegetation,53,53,48
Vegetation,53,52,48
Vegetation,52,49,47
Vegetation,52,50,46
Vegetation,52,51,45
Vegetation,52,50,46
Vegetation,52,50,47
Vegetation,53,52,47
Vegetation,54,53,48
Vegetation,55,54,48
Vegetation,58,58,48
Vegetation,60,63,49
Vegetation,63,67,50
Vegetation,65,70,51
Vegetation,66,71,52
Vegetation,67,72,52
Vegetation,67,72,51
Vegetation,65,67,50
Vegetation,63,63,49
Vegetation,61,61,49
Vegetation,60,61,49
Vegetation,59,61,49
Vegetation,58,58,48
Vegetation,57,56,47
Vegetation,58,57,47
Vegetation,58,59,47
Vegetation,59,60,47
Vegetation,58,59,47
Vegetation,58,58,47
Vegetation,58,57,47
Vegetation,57,57,47
Vegetation,56,58,47
Vegetation,55,56,47
Vegetation,55,54,46
Vegetation,54,54,45
Vegetation,54,54,45
Vegetation,54,53,45
Vegetation,53,53,45
Vegetation,53,54,45
Vegetation,52,53,45
Vegetation,52,51,45
Vegetation,52,52,45
Vegetation,53,52,44
Vegetation,54,52,45
Vegetation,55,53,45
Vegetation,56,54,45
Vegetation,56,56,46
Vegetation,57,57,47
Vegetation,59,59,47
Vegetation,61,62,48
Vegetation,62,65,50
Vegetation,65,72,51
Vegetation,67,77,52
Vegetation,70,75,52
Vegetation,69,73,52
Vegetation,67,70,51
Vegetation,63,67,51
Vegetation,61,63,50
Vegetation,60,64,49
Vegetation,59,63,49
Vegetation,58,60,48
Vegetation,59,59,48
Vegetation,59,60,47
Vegetation,60,62,47
Vegetation,60,65,47
Vegetation,61,68,48
Vegetation,61,68,48
Vegetation,61,63,47
Vegetation,61,63,47
Vegetation,61,63,47
Vegetation,61,62,48
Vegetation,61,62,49
Vegetation,62,63,50
Vegetation,62,63,50
Vegetation,63,64,49
Vegetation,65,65,49
Vegetation,66,66,49
Vegetation,67,66,50
Vegetation,68,68,50
Vegetation,68,69,50
Vegetation,69,69,50
Vegetation,70,69,51
Vegetation,71,70,51
Vegetation,71,72,51
Vegetation,72,76,52
Vegetation,73,78,53
Vegetation,74,79,54
Vegetation,75,80,54
Vegetation,76,80,54
Vegetation,77,81,54
Vegetation,78,81,54
Vegetation,78,80,52
Vegetation,75,76,51
Vegetation,72,71,50
Vegetation,69,65,49
Vegetation,67,62,48
Vegetation,67,63,47
Vegetation,56,57,52
Vegetation,55,57,52
Vegetation,55,57,52
Vegetation,54,57,51
Vegetation,55,56,51
Vegetation,55,54,50
Vegetation,55,53,49
Vegetation,55,54,47
Vegetation,55,56,46
Vegetation,55,55,47
Vegetation,55,54,48
Vegetation,54,53,49
Vegetation,53,51,48
Vegetation,52,49,47
Vegetation,52,50,46
Vegetation,52,51,46
Vegetation,52,51,46
Vegetation,53,51,47
Vegetation,54,53,47
Vegetation,55,54,47
Vegetation,56,55,47
Vegetation,58,60,48
Vegetation,60,64,48
Vegetation,62,66,50
Vegetation,64,68,51
Vegetation,65,69,52
Vegetation,66,70,52
Vegetation,66,69,51
Vegetation,65,66,50
Vegetation,64,64,50
Vegetation,63,63,49
Vegetation,62,65,49
Vegetation,61,66,49
Vegetation,59,61,48
Vegetation,58,59,48
Vegetation,59,59,47
Vegetation,59,60,47
Vegetation,60,60,48
Vegetation,60,60,48
Vegetation,59,59,48
Vegetation,59,59,48
Vegetation,59,59,48
Vegetation,57,61,47
Vegetation,56,59,47
Vegetation,54,55,46
Vegetation,54,54,45
Vegetation,54,54,45
Vegetation,54,54,45
Vegetation,54,54,46
Vegetation,53,55,46
Vegetation,53,54,46
Vegetation,52,52,45
Vegetation,53,52,45
Vegetation,54,53,45
Vegetation,55,53,45
Vegetation,56,54,46
Vegetation,56,55,46
Vegetation,57,56,47
Vegetation,58,58,47
Vegetation,60,60,47
Vegetation,61,64,49
Vegetation,63,69,50
Vegetation,66,74,52
Vegetation,68,78,53
Vegetation,70,76,53
Vegetation,69,73,52
Vegetation,67,70,51
Vegetation,65,66,51
Vegetation,63,62,50
Vegetation,62,63,49
Vegetation,61,62,48
Vegetation,60,59,48
Vegetation,60,59,48
Vegetation,60,61,48
Vegetation,61,63,48
Vegetation,61,66,48
Vegetation,61,66,49
Vegetation,61,64,49
Vegetation,61,61,48
Vegetation,60,61,48
Vegetation,60,62,48
Vegetation,61,62,48
Vegetation,61,62,49
Vegetation,63,63,50
Vegetation,65,65,50
Vegetation,66,66,50
Vegetation,67,68,50
Vegetation,68,69,51
